Title,Title_URL,artlink_URL,artlink,Time,Field
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/revue/modelky/eliska-buckova-modelka-miss-rodina-morava-dite.A250319_112630_missamodelky_zar,"Odstěhuji se na Moravu, najdu si partnera a porodím dítě, plánuje Eliška Bučková", dnes,Je Česká Miss a na kontě má kariéru v modelingu i zpívání v muzikálu. Elišku Bučkovou (35) teď nejvíc naplňuje její...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/domaci/ukrajina-zbrane-valka-cerny-obchod-telegram.A250323_203900_domaci_stud,"Ukrajinci nabízejí na síti zbraně z války. Černý obchod bují už teď, bude to horší", dnes,"Samopal MP5 Heckler & Koch MP5 za 490 dolarů. Samopal 26 za 450 dolarů, samonabíjecí puška Taurus T4 za 820 dolarů,..."
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/let-s-dance-eva-buresova-premek-forejt.A250324_115143_dx-celebrity_stes,"Burešová žehlí aférku se Saganem: Slzy v přímém přenosu, vyznání Forejtovi", před 10 hodinami,"Noční procházkou s Peterem Saganem si u fanoušků udělala vroubek, mnozí její slova o přátelském držení za ruce nevzali...."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/spolu-volby-koalice-preference-odchod-pekarove-adamove.A250323_152511_ln_nazory_halu,"SPOLU, ovšem v rozhrkaném autobusu. Nabízí se ale jiná alternativa ke svezení?", dnes,"Před parlamentními volbami 2021 vyrukovala koalice SPOLU s volebním autobusem, na jehož bocích se vyjímala „svatá..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/krimi/nuselsky-most-praha-nehoda-doprava-zraneni-hasici-policie-sanikta-zachranka.V250324_190513_idnestv_pech,Na Nuselském mostě se převrátilo auto na střechu, před 2 hodinami,
Reality.iDNES.cz,https://reality.idnes.cz/,https://reality.idnes.cz/detail/prodej/byt/costa-adeje/666195c5b8554681a10dd112/?ad=zabka&utm_source=sph.idnes&utm_medium=richtext&utm_content=sph-box,"Prodej bytu 2+kk 45 m2, Costa Adeje, Tenerife, Španělsko", dnes,"Skloubení subtropických zahrad s horským a oceánským prostředím, Ramada Residences Costa Adeje se nachází na oblíbeném..."
Databazeknih.cz,https://www.databazeknih.cz/,https://www.databazeknih.cz/novinky/letni-slunovrat-vladci-smrti-a-dalsi-knizni-novinky-13-tyden-2385?utm_source=web&utm_medium=feed&utm_campaign=idnes,"Letní slunovrat, Vládci smrti a další knižní novinky (13. týden)", včera,"Vítáme vás u dalšího článku s připravovaných knižními novinkami. Tentokrát se podíváme, jaké knihy vyjdou v období od..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/zahranicni/gronsko-usa-navsteva-delegace-usha-vanceova-mike-waltz-dansko-donald-trump.A250324_091444_zahranicni_dtt,"Provokace a demonstrace síly, zuří Gróňané kvůli návštěvě z USA", před 12 hodinami,"Za provokaci označil grónský premiér Múte Egede nadcházející návštěvu manželky viceprezidenta USA Ushy Vanceové, kterou..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/zahranicni/jaderne-zbrane-britanie-rusko-usa-healey.A250321_094154_zahranicni_jhr,"Náš jaderný arzenál způsobí protivníkům nepopsatelné škody, varuje Londýn", dnes,"Nás jaderný arzenál může protivníkům Spojeného království způsobit „nevýslovné škody“, prohlásil britský ministr obrany..."
Metro.cz,https://www.metro.cz/,https://www.metro.cz/praha/zmena-casu-2025-letni-cas-se-blizi-jak-ovlivni-dopravu-v-praze-a-proc-uz-mozna-nema-smysl.A250324_122658_metro-spolecnost_hyr,Změna času 2025: Letní čas se blíží. Jak ovlivní dopravu v Praze a proč už možná nemá smysl?, před 9 hodinami,V noci ze soboty 29. na neděli 30. března 2025 se v České republice opět mění čas. Ve 2:00 středoevropského času (SEČ)...
,,,,,
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/sagan-po-afere-s-buresovou-s-manzelkou-po-rozvodu-funguji-jako-rodina.A250324_114056_dx-celebrity_lare,Sagan po aféře s Burešovou: S manželkou po rozvodu fungují jako rodina!, před 9 hodinami,Před sedmi lety plnil titulní stránky českých i slovenských bulvárů. Řešil se totiž jeho nečekaný rozvod s půvabnou...
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/valka-na-ukrajine-primeri-donald-trump-usa-rusko-monitorovaci-mise.A250324_145500_ln_nazory_lgs,"Dohlížet na mír? Na Ukrajině se ještě střílí, ale v Praze už je spor o účast v monitorovací misi", před 6 hodinami,"Slovo „chcimír“ už přestalo platit jako nadávka, což je dobře. Dokud byl každý, komu šlo o konec války na Ukrajině,..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/domaci/pizzeria-v-liberci-serviruje-dubajskou-pizzu.V250324_162402_idnestv_jda,Pizzeria v Liberci servíruje dubajskou pizzu, před 4 hodinami,
Akční ceny,https://www.akcniceny.cz/,https://www.akcniceny.cz/magazin/nebezpecne-barvy-na-vlasy-v-cesku-obsahuji-zakazane-latky-a-mohou-ovlivnit-plodnost/,Nebezpečné barvy na vlasy v Česku: Obsahují zakázané látky a mohou ovlivnit p..., před 2 hodinami,"Státní zdravotní ústav varuje před některými barvami na vlasy, které se dostaly do českých obchodů. Obsahují nebezpečné..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/ekonomika/zahranicni/fentanyl-usa-cina-export-cla-donald-trump-obchod-vyvoz.A250318_142936_eko-zahranicni_jla,"Je fentanyl příčina, anebo záminka? Za co všechno může a nemůže Čína", dnes,Už na počátku února se americký prezident rozhodl zavést dodatečné desetiprocentní clo na veškerý dovoz z Číny do USA....
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/fotbal/reprezentace/nemecko-italie-liga-narodu-gol-k-z-rohu-kuriozita-musiala-kimmich.A250324_104203_fot_reprez_min,Kuriózní gól zesměšnil Italy a pobavil Němce. Hráči děkovali podavači míčů, před 10 hodinami,"Italští fotbalisté by se v tu chvíli nejradši propadli. „Jak pěkně jste si zdřímli,“ pronesl ironicky komentátor..."
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/stastna-ester-geislerova-zasnuby-s-pritelem-v-brazilske-dzungli.A250324_110951_dx-celebrity_lare,Šťastná Ester Geislerová: Zásnuby s přítelem v brazilské džungli!, před 10 hodinami,Herečka Ester Geislerová (41) se fanouškům pochlubila šťastnou novinkou ze soukromého života. S partnerem Martinem (30)...
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/donald-trump-usa-vzdelavani-federalni-ministerstvo-skolstvi-zruseni.A250324_112412_ln_nazory_lgs,Nad některými nápady Trumpa zůstává člověku rozum stát. Zrušení federálního ministerstva školství se to netýká, před 9 hodinami,Je nutné ministerstvo školství? Myslím tím to americké. Rozhodnutí prezidenta Donalda Trumpa zrušit federální...
Antiyoutuber.cz,https://www.antiyoutuber.cz/,https://www.antiyoutuber.cz/clanky/taras-tary-povoroznyk-youtube-youtuber-instagram-influencer.A250321_180100_antiyout-clanky_sorm,"Tary exkluzivně o své kariéře: Youtubeři mě mezi sebe nebrali, první milion jsem vložil do koupi bytu", dnes,"2 miliardy zhlédnutí na videích, spousta peněz, ale i kritiky. Taras „Tary“ Povoroznyk v podcastu redakce..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/kosmeticka-firma-prodavala-v-new-yorku-vejce-za-tretinu-bezne-ceny.V250324_094450_idnestv_jaha,Kosmetická firma prodávala v New Yorku vejce za třetinu běžné ceny, před 2 hodinami,
eMimino,https://www.emimino.cz/,https://www.emimino.cz/clanky/netoxicka-domacnost-jarni-uklid-tipy/,"Netoxická domácnost: 7 tipů, jak na jarní úklid bez chemikálií", před 3 hodinami,"Chcete mít domov bez zbytečných chemikálií, který bude zdravější pro vás i vaše děti? Jarní úklid je ideální..."
Harpersbazaar,https://harpersbazaar.cz/,https://harpersbazaar.cz/fashion/fashion-memes-proc-starter-packy-a-reakcni-videa-vladnou-modnim-trendum/,Fashion memes: Proč starter packy a reakční videa vládnou módním trendům, dnes,"Když luxusní značky začnou komunikovat prostřednictvím memů, je jasné, že hranice mezi exkluzivitou a masovou..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/brno/zpravy/nalez-letecka-puma-evakuace-centrum-brna-policie-pyrotechnik.A250324_121831_brno-zpravy_krut,"Pyrotechnici zlikvidovali leteckou pumu nalezenou v Brně, byla sovětské výroby", před 9 hodinami,"Policisté spolu s hasiči dnes kolem poledne evakuovali víc než tisíc lidí z budov mezi ulicemi Trnitá, Uhelná a..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/zahranicni/usa-gronsko-dansko-americke-zbrane-usa-stihacka-stihaci-letoun-f-35-nakup.A250324_103246_zahranicni_dtt,"Lituji, že jsme koupili americké stíhačky, řekl dánský politik. Varuje spojence", před 11 hodinami,"Předsedu dánského parlamentního výboru pro obranu mrzí, že se jeho země rozhodla pro americké bojové letouny F-35, a..."
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/marketa-konvickova-na-detech-raje-ted-se-citim-dobre-musela-jsem-se-ohradit.A250323_140250_dx-celebrity_bk,"Markéta Konvičková na Dětech ráje: Teď se cítím dobře, musela jsem se ohradit", před 10 hodinami,"Zpěvačka a herečka Markéta Konvičková (30) na premiéru muzikálu Děti ráje 2 přišla podle svých slov nepolíbená, první..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/donald-trump-vladimir-putin-volodymyr-zelenskyj-valka-ukrajina-rusko-usa.A250321_173457_ln_nazory_lgs,Jak se z války na Ukrajině zrodí klid zbraní? Důvod k jásání tu není, před 12 hodinami,"Slib Donalda Trumpa, že během 24 hodin zastaví válku na Ukrajině, všichni normálně smýšlející lidé pochopili jako..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/hrec-francie-deaprdieu-soud-pariz-sexualni-obtezovani.V250324_195757_idnestv_pech,"Francouzský herec Depardieu přišel k soudu, obviněný je z obtěžování", před hodinou,
Electric drive,https://www.electricdrive.cz/,https://www.electricdrive.cz/elektromobilita-neni-nesmysl-kalifornie-ma-diky-ni-cistsi-vzduch-a-silnejsi-ekonomiku/,Elektromobilita není nesmysl: Kalifornie má díky ní čistší vzduch a silnější ekonomiku, před 11 hodinami,Kalifornie oznámila výrazný pokles emisí skleníkových plynů a významně se přiblížila svému cíli dosáhnout uhlíkové...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/zahranicni/klimaticti-aktiviste-posledni-generace-obzaloba-mnichov-nemecko.A250324_133929_zahranicni_jhr,V Mnichově obvinili klimatické aktivisty ze zřízení zločinecké organizace, před 7 hodinami,Mnichovské státní zastupitelství obvinilo pět klimatických aktivistů z bývalého protestního hnutí Poslední generace...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/domaci/ministr-dvorak-operace-kycelni-kloub.A250324_100712_domaci_tbr,"Ministr Dvořák se zranil při hře s vnoučaty, musel na akutní operaci kyčle", před 11 hodinami,Ministr pro evropské záležitosti Martin Dvořák (STAN) podstoupil o víkendu akutní operaci kyčelního kloubu. Čeká ho...
Metro.cz,https://www.metro.cz/,https://www.metro.cz/spolecnost/rybareni-laka-i-zeny-poslete-svou-fotku-deniku-metro-a-vyhrajte-500-korun.A250324_111117_metro-spolecnost_hyr,Rybaření láká i ženy! Pošlete svou fotku deníku Metro a vyhrajte 500 korun, před 10 hodinami,"Rybaření už dávno není jen mužská záležitost. Stále více žen se vydává k vodě, loví kapitální úlovky a boří stereotypy...."
Expres,https://www.expres.cz/,https://www.expres.cz/celebrity/a-je-to-venku-golfista-tiger-woods-chodi-s-ex-trumpa-juniora-vanessou.A250324_105020_dx-celebrity_chlp,A je to venku: Golfista Tiger Woods chodí s ex Trumpa Juniora Vanessou, před 7 hodinami,"To, o čem si vrabci v Los Angeles už nějakou dobu štěbetali, se potvrdilo. Slavný golfista Tiger Woods přiznal, že..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/donald-trump-ekonomika-dane-cla-eu-deregulace-financial-times.A250324_135825_ln_nazory_lgs,Trumpova ekonomická politika děsí svět. Evropa na tom ale nakonec může vydělat, před 4 hodinami,"Americká ekonomika neprožívá po nástupu prezidenta Donalda Trumpa do úřadu zrovna šťastné období. Akciový index klesá,..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/krimi/pet-zranenych-u-slaneho-ridic-kamionu-na-videu-nemel-sanci.V250324_120342_idnestv_jda,Pět zraněných u Slaného: Řidič kamionu na videu neměl šanci, před 9 hodinami,
Akční ceny,https://www.akcniceny.cz/,https://www.akcniceny.cz/magazin/dotace-na-destovku-kolik-muzete-dostat-a-jak-o-ni-pozadat/,Dotace na Dešťovku: Kolik můžete dostat a jak o ni požádat?, před 2 hodinami,Zachytávání dešťové vody šetří životní prostředí i vaši peněženku. Díky programu Dešťovka můžete získat státní podporu...
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/zpravy/revue/vztahy-a-sex/tiger-woods-golfista-vztah-vanessa-trump-pritelkyne-trump-junior.A250324_080644_sex_potu,Tiger Woods má novou lásku. Chodí s exmanželkou mladého Trumpa, před 11 hodinami,"Americký golfista Tiger Woods (49) na Instagramu oficiálně prozradil, že tvoří pár s bývalou manželkou Donalda Trumpa..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/ekonomika/domaci/rozstrel-nedostatek-bytu-rozvrat-politika-rysavka-kunovsky-central-group.A250318_204118_ekonomika_vov,Developer Kunovský: Nedostatek bytů je tikající bomba. Hrozí politický rozvrat, před 12 hodinami,Český trh s bydlením se potýká s dlouhodobou stagnací a nedostatkem dostupných bytů. Podle předsedy představenstva...
Expres,https://www.expres.cz/,https://www.expres.cz/zpravy/klimatologicky-summit-v-brazilii-znamena-devastaci-mistniho-pralesa.A250313_205940_dx-zpravy_chlp,Klimatologický summit v Brazílii znamená devastaci místního pralesa, dnes,"V brazilském městě Belému se chystá velký klimatický summit, který bude hostit na 50 tisíc politiků a odborníků z..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/magazin/ester-geislerova-martin-krupa-zasnoubeni.A250324_090544_ln-magazin_lsva,Herečka Geislerová se zasnoubila. Přítel ji požádal o ruku během dovolené v Brazílii, dnes,"Herečka a výtvarnice Ester Geislerová (41), nejmladší ze sester Geislerových, se v únoru zasnoubila. „Ano“ řekla herci..."
Antiyoutuber.cz,https://www.antiyoutuber.cz/,https://www.antiyoutuber.cz/clanky/jon-marianek-youtuber-youtube-instagram-influencer-usa.A250324_103415_antiyout-clanky_sorm,"Mariánek při návštěvě Česka zamířil na párty. Slibuje propracovanou tvorbu, fanošci už mu nevěří", před 9 hodinami,"Jon Mariánek se vrátil do Česka, kde se rozhodl vydat na párty v Hustopečích. Na Instagramu se rozpovídal o tom, co se..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/technika/prozkomat-cinske-mpv-znacky-dongfeng.V250321_125531_idnestv_heli,Prozkoumali jsme čínské MPV značky Dongfeng. Má luxusní interiér, před 12 hodinami,
eMimino,https://www.emimino.cz/,https://www.emimino.cz/clanky/podcast-netabuj-michaela-smolenova/,"Při porodu mi dítě odmítla dát. Pak jsem našla na sociálních sítích, že ho...", dnes,V novém dílu podcastu Netabuj Michaela Smolenová otevřeně sdílí svou osobní zkušenost s těžkým bojem o mateřství. Od...
Harpersbazaar,https://harpersbazaar.cz/,https://harpersbazaar.cz/art/tip-veroniky-scattergood-nadprirozeno-a-ritualni-obeti-ocima-karimy-al-mukhtarove/,Tip Veroniky Scattergood: Nadpřirozeno a rituální oběti očima Karímy Al-Mukhtarové, dnes,"Jedna z našich nejzajímavějších současných umělkyň vystavuje svá díla, která inspirovalo tajemné africké náboženství. "
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/sport/biatlon/johannes-bo-posledni-zavod.A250323_190251_biatlon_vp2,"V pondělí nebudu pít ani řídit. Jak skončila éra, kdy se z biatlonu stal boeatlon", dnes,"Cílem hromadného závodu projel na sedmém místě, vyplázl jazyk, počkal na bratra Tarjeie, objali se. Pak je parťáci..."
iDNES.cz,htts://www.idnes.cz,https://www.idnes.cz/auto/zpravodajstvi/dongfeng-u-tour-mpv-cina.A250310_121857_automoto_fdv,Sedmimístný dongfeng je luxusním autem pro čtyři. Čínské MPV nemá soupeře, dnes,"V době, kdy se kategorie MPV v podstatě smrskla na osobní verze dodávek, přichází na evropské trhy čínský zástupce,..."
Expres,https://www.expres.cz/,https://www.expres.cz/jenpromuze/sdeleni/undone-trendy-nealkoholicke-drinky.A250321_135812_jenpromuze-sdeleni_shlo2,Undone: trendy nealkoholické drinky, před 8 hodinami,"Co kdybyste si mohli užít své oblíbené koktejly s ginem, aperolem nebo vermutem, ale bez alkoholu? Hamburský nápojový..."
Lidovky,https://www.lidovky.cz/,https://www.lidovky.cz/nazory/senat-daniela-kovarova-miroslava-nemcova-vladimir-putin-rusko-bezpecnost.A250324_132023_ln_nazory_lgs,"Kulturní zatykač: senátorka Kovářová, dead or alive", před 2 hodinami,"Na senátorku Danielu Kovářovou je vydán kulturní zatykač, zneužiji termín Václava Bělohradského. „Jsem z vás zhnusena,“..."
iDNES.tv,https://tv.idnes.cz/,https://tv.idnes.cz/zahranicni/mexiko-zatknout-nemecko-turista-vystup-posvatna-pyramida-kukulkan.V250324_102738_idnestv_anka,V Mexiku zatkli německého turistu za výstup na posvátnou Kukulkánovu pyramidu, před 11 hodinami,
autozive,https://www.autozive.cz/,https://www.autozive.cz/dacia-jogger-konkurence/,"Má obrovský kufr, jezdí za 5 litrů, stojí méně než motorka a uveze 7 lidí. Je lepší koupit ho spí...", dnes,"Kdysi populární druh automobilu a typ karoserie, který Češi milovali, pomalu mizí z nabídky. Dá se ale stále najít za..."
